Percent Increase,Unit Number,Hours,z_covariate1,z_covariate2,z_covariate3
0,101,0,70,50.88473411,1
0.4741,101,250,70,48.46248265,1
0.9255,101,500,70,49.34089824,1
2.1147,101,750,70,52.97678837,1
2.7168,101,1000,70,55.23416392,1
3.511,101,1250,70,49.01020684,1
4.3415,101,1500,70,51.63839082,1
4.9076,101,1750,70,48.80849248,1
5.4782,101,2000,70,51.14798447,1
5.9925,101,2250,70,52.19998952,1
6.7224,101,2500,70,46.91567036,1
7.1303,101,2750,70,51.37418393,1
8.0006,101,3000,70,53.00551016,1
8.9193,101,3250,70,50.46153976,1
9.494,101,3500,70,58.64920696,1
9.8675,101,3750,70,46.95721278,1
10.9446,101,4000,70,46.31470114,1
0,102,0,60,41.25060347,1
0.7078,102,250,60,54.5524129,1
1.2175,102,500,60,54.33541276,1
1.8955,102,750,60,49.6005358,1
2.2954,102,1000,60,54.49237995,1
2.865,102,1250,60,50.91851712,1
3.7454,102,1500,60,51.45395067,1
4.4192,102,1750,60,50.56472359,1
4.9894,102,2000,60,52.19976094,1
5.5148,102,2250,60,50.50831222,1
6.0668,102,2500,60,63.93667614,1
6.6385,102,2750,60,44.16667485,1
7.1615,102,3000,60,40.72850459,1
7.7778,102,3250,60,44.29659428,1
8.4242,102,3500,60,44.53328272,1
8.9092,102,3750,60,47.83195352,1
9.2834,102,4000,60,49.15765061,1
0,103,0,30,48.9073322,0
0.7074,103,250,30,52.70667218,0
1.1651,103,500,30,51.94633102,0
1.7253,103,750,30,53.75614492,0
1.9888,103,1000,30,58.8912795,0
2.5325,103,1250,30,56.11531276,0
2.9695,103,1500,30,43.58371948,0
3.2977,103,1750,30,38.35522742,0
3.9354,103,2000,30,54.50965733,0
4.1613,103,2250,30,40.82180658,0
4.4459,103,2500,30,50.33378456,0
4.889,103,2750,30,50.17739743,0
5.2696,103,3000,30,61.13584039,0
5.6913,103,3250,30,49.65392873,0
6.0216,103,3500,30,47.46338468,0
6.4485,103,3750,30,51.17904836,0
6.8849,103,4000,30,51.22902426,0
0,104,0,30,50.35022605,0
0.3634,104,250,30,46.95709745,0
0.6161,104,500,30,43.8870331,0
1.3597,104,750,30,51.5825018,0
1.9525,104,1000,30,43.28565382,0
2.2995,104,1250,30,44.83907828,0
2.9468,104,1500,30,56.65607943,0
3.3871,104,1750,30,47.90548402,0
3.7863,104,2000,30,49.29839139,0
4.1116,104,2250,30,54.49911164,0
4.5013,104,2500,30,48.49944497,0
4.7209,104,2750,30,55.14682856,0
4.9766,104,3000,30,48.27467014,0
5.2812,104,3250,30,55.06400932,0
5.615,104,3500,30,53.14667292,0
5.9503,104,3750,30,48.93492459,0
6.1438,104,4000,30,45.67151346,0
0,105,0,40,44.78445849,0
0.2707,105,250,40,48.64965594,0
0.6144,105,500,40,47.80929322,0
1.1093,105,750,40,47.95662843,0
1.773,105,1000,40,54.91772618,0
2.0625,105,1250,40,48.51151428,0
2.5835,105,1500,40,55.71839455,0
2.9863,105,1750,40,47.34189941,0
3.3765,105,2000,40,54.86282864,0
4.0491,105,2250,40,47.38874758,0
4.626,105,2500,40,50.88288897,0
5.237,105,2750,40,54.85368912,0
5.6191,105,3000,40,47.93013863,0
6.0449,105,3250,40,47.80864741,0
6.3167,105,3500,40,60.01695305,0
7.0952,105,3750,40,54.7549675,0
7.5941,105,4000,40,47.83998078,0
0,106,0,80,53.24470369,1
0.3584,106,250,80,48.19961849,1
1.3922,106,500,80,53.5294251,1
1.9541,106,750,80,57.07924534,1
2.8617,106,1000,80,41.97742166,1
3.4552,106,1250,80,55.14426535,1
3.8117,106,1500,80,57.2898389,1
4.533,106,1750,80,50.23735662,1
5.3541,106,2000,80,58.73128355,1
5.9217,106,2250,80,50.77693757,1
6.7078,106,2500,80,43.81440158,1
7.7027,106,2750,80,39.03252861,1
8.6053,106,3000,80,48.33296466,1
9.1477,106,3250,80,53.56771651,1
9.951,106,3500,80,51.58703867,1
10.4857,106,3750,80,52.06805195,1
11.0096,106,4000,80,47.11457208,1
0,107,0,40,50.72000901,0
0.3637,107,250,40,41.80667135,0
0.9237,107,500,40,46.19955001,0
1.2098,107,750,40,45.90603452,0
1.4591,107,1000,40,52.59864444,0
1.9323,107,1250,40,49.9291997,0
2.3862,107,1500,40,44.22235316,0
2.6799,107,1750,40,49.95237542,0
2.9397,107,2000,40,46.55094731,0
3.4183,107,2250,40,46.66650423,0
4.0857,107,2500,40,54.32074711,0
4.5843,107,2750,40,50.56709718,0
4.8402,107,3000,40,51.99181423,0
5.1145,107,3250,40,54.41984945,0
5.5691,107,3500,40,50.90128847,0
6.114,107,3750,40,52.75427261,0
7.1723,107,4000,40,53.41482138,0
0,108,0,30,55.8530433,0
0.458,108,250,30,52.37930294,0
1.0678,108,500,30,57.06116343,0
1.4163,108,750,30,50.11304242,0
1.7659,108,1000,30,49.76065295,0
2.1061,108,1250,30,58.50667327,0
2.3969,108,1500,30,47.45144144,0
2.78,108,1750,30,49.9857252,0
3.0187,108,2000,30,54.5993354,0
3.289,108,2250,30,50.74904366,0
3.7542,108,2500,30,57.02466723,0
4.1595,108,2750,30,55.1706077,0
4.7575,108,3000,30,51.45785144,0
5.1597,108,3250,30,46.11150731,0
5.4591,108,3500,30,52.83348049,0
5.8085,108,3750,30,43.0868942,0
6.245,108,4000,30,51.22237338,0
0,109,0,40,54.04219402,0
0.5098,109,250,40,51.06520849,0
0.9308,109,500,40,54.39838582,0
1.5713,109,750,40,60.19438126,0
1.9576,109,1000,40,54.61966224,0
2.5871,109,1250,40,51.33458723,0
3.2892,109,1500,40,53.20830753,0
3.6075,109,1750,40,52.12742678,0
4.1148,109,2000,40,43.42638248,0
4.5964,109,2250,40,47.9179439,0
4.913,109,2500,40,56.12343912,0
5.3408,109,2750,40,49.78207897,0
5.8418,109,3000,40,52.91211639,0
6.3961,109,3250,40,44.96749963,0
6.8441,109,3500,40,50.32258371,0
7.2037,109,3750,40,53.00145975,0
7.8848,109,4000,40,43.19242523,0
0,110,0,90,51.73796316,1
0.4136,110,250,90,49.09078391,1
1.488,110,500,90,45.30232617,1
2.381,110,750,90,49.81233406,1
2.995,110,1000,90,40.51847753,1
3.835,110,1250,90,39.36011616,1
4.501,110,1500,90,44.11538335,1
5.251,110,1750,90,45.0473389,1
6.256,110,2000,90,44.13483836,1
7.051,110,2250,90,41.37286105,1
7.803,110,2500,90,51.44114045,1
8.321,110,2750,90,42.0290814,1
8.93,110,3000,90,50.55109425,1
9.554,110,3250,90,53.93533338,1
10.45,110,3500,90,49.98886607,1
11.28,110,3750,90,50.4655438,1
12.21,110,4000,90,48.10921472,1
0,111,0,40,42.58661944,0
0.4435,111,250,40,49.78090707,0
0.9978,111,500,40,54.80412606,0
1.5738,111,750,40,58.69122466,0
1.9584,111,1000,40,47.84896879,0
2.5093,111,1250,40,41.86338632,0
2.8436,111,1500,40,50.83173746,0
3.4682,111,1750,40,51.88132955,0
4.007,111,2000,40,48.86524768,0
4.5124,111,2250,40,44.25543855,0
4.8018,111,2500,40,60.121663,0
5.2042,111,2750,40,38.20238245,0
5.6556,111,3000,40,47.45013977,0
6.1951,111,3250,40,43.39187205,0
6.5405,111,3500,40,46.81935875,0
6.9626,111,3750,40,51.5892571,0
7.4238,111,4000,40,50.69023987,0
0,112,0,40,46.44632463,0
0.3864,112,250,40,53.88501763,0
0.7988,112,500,40,53.11196962,0
1.3521,112,750,40,53.23690442,0
1.741,112,1000,40,47.87184159,0
2.979,112,1250,40,55.2429038,0
3.5871,112,1500,40,53.30353543,0
4.0315,112,1750,40,62.54386237,0
4.4393,112,2000,40,55.3172982,0
4.7906,112,2250,40,55.78460827,0
5.2205,112,2500,40,50.26489414,0
5.4848,112,2750,40,43.55806999,0
5.9639,112,3000,40,48.14389376,0
6.2276,112,3250,40,46.21104042,0
6.9877,112,3500,40,47.18015541,0
7.3671,112,3750,40,52.7756928,0
7.8841,112,4000,40,47.21610968,0
0,113,0,50,45.52443432,0
0.3034,113,250,50,47.95336139,0
0.7448,113,500,50,49.19556617,0
1.5225,113,750,50,52.04667215,0
1.8548,113,1000,50,45.23682001,0
2.3897,113,1250,50,51.58658736,0
2.9473,113,1500,50,50.3901004,0
3.5104,113,1750,50,56.62192725,0
3.9207,113,2000,50,48.93414757,0
5.0316,113,2250,50,49.32760678,0
5.4708,113,2500,50,44.14322091,0
5.8362,113,2750,50,43.07368658,0
6.4962,113,3000,50,51.55254159,0
6.9372,113,3250,50,48.75255468,0
7.3883,113,3500,50,52.51872028,0
7.8472,113,3750,50,45.53669298,0
8.087,113,4000,50,59.54256165,0
0,114,0,30,50.6111535,0
0.438,114,250,30,55.23516633,0
0.6979,114,500,30,48.865399,0
1.0515,114,750,30,49.18749029,0
1.3526,114,1000,30,53.45025949,0
1.7998,114,1250,30,52.77878386,0
2.5514,114,1500,30,44.39872499,0
2.8274,114,1750,30,42.33653493,0
3.3908,114,2000,30,44.51066115,0
3.7159,114,2250,30,42.92113339,0
4.0906,114,2500,30,50.29785294,0
4.8296,114,2750,30,47.94374537,0
5.4145,114,3000,30,48.15994633,0
5.759,114,3250,30,43.19518435,0
6.1419,114,3500,30,53.89783714,0
6.5086,114,3750,30,52.19705556,0
6.8823,114,4000,30,49.55188758,0
0,115,0,30,55.10590059,0
0.5056,115,250,30,45.63010267,0
0.8349,115,500,30,52.07350147,0
1.2864,115,750,30,51.742206,0
1.5191,115,1000,30,51.74627208,0
1.9148,115,1250,30,46.35376366,0
2.2697,115,1500,30,51.63420124,0
2.7763,115,1750,30,47.42559184,0
3.4153,115,2000,30,45.51776925,0
3.7814,115,2250,30,43.98365907,0
4.1053,115,2500,30,55.1890782,0
4.3754,115,2750,30,45.77027894,0
4.6295,115,3000,30,49.13543078,0
5.3831,115,3250,30,43.95673973,0
5.8391,115,3500,30,48.514366,0
6.1618,115,3750,30,33.83981102,0
6.6247,115,4000,30,44.56520385,0
